Aircraft;Engine;Role;Registration;Seats;Cargo Capacity (t);Flight Number;Date;Take-off Time (UTC);Origin Airport;Destination Airport;Distance OD (km);Distance Flown (km);CO2 (kgCO2e);Contrails (kgCO2e)
A320;CFM56-5B4/3;PAX;EC-MBD;180.0;0.0;VY3146;16/08/2023;16/08/2023 12:36;LEMG;GCFV;1265.9517282373215;1340.253238570876;15795.462565451087;0.0
A320;V2527-A5;PAX;EC-MVD;186.0;0.0;VY1305;27/05/2023;27/05/2023 11:15;LEAL;LEBL;403.8531061870535;535.4949432073116;8284.75771208452;0.0
A20N;PW1127G-JM;PAX;EC-NIX;186.0;0.0;VY3514;17/06/2023;17/06/2023 14:01;LEBL;LEIB;276.1540864735084;366.859315149697;5228.905226545136;0.0
A320;CFM56-5B4/3;PAX;EC-MBD;180.0;0.0;VY8243;20/10/2023;20/10/2023 21:29;LFPG;LEBL;858.7380115037018;975.5015171260176;12394.062896225309;0.0
A320;V2527-A5;PAX;EC-MOG;186.0;0.0;VY2225;28/10/2023;28/10/2023 07:51;LEBL;LEZL;809.2782447899061;834.3956266792604;11081.847795407242;0.0
A320;V2527-A5;PAX;EC-MBS;180.0;0.0;VY1426;23/03/2023;23/03/2023 07:49;LEBB;EKCH;1764.1131706840222;1894.821843069428;20983.028278605725;-277097.03784201987
A320;CFM56-5B6/P;PAX;EC-KJD;180.0;0.0;VY8830;12/12/2023;12/12/2023 05:51;LEZL;LFPG;1457.4451313122115;1597.5339040753197;18195.43492089465;-49474.59270861129
A319;CFM56-5B6/P;PAX;EC-MIQ;144.0;0.0;VY6204;10/10/2023;10/10/2023 06:39;LIRQ;EGKK;1180.3784115125206;1227.3643324242248;13688.527270599365;-7986.3928506812
A320;V2527-A5;PAX;EC-MEL;180.0;0.0;VY8157;14/06/2023;14/06/2023 15:18;LFPO;LEVC;1051.673874007024;1104.5393051081585;13585.416079862764;0.0
A320;CFM56-5B4/3;PAX;EC-LVU;180.0;0.0;VY2123;20/12/2023;20/12/2023 14:40;LEBL;LEMG;765.966389686389;815.1169277605203;10891.921925551997;-105.22571024026902
A320;V2527-A5;PAX;EC-MXG;186.0;0.0;VY1571;22/02/2023;22/02/2023 09:30;LEAS;LEBL;711.5818927865374;786.1853600199298;10632.932103022114;-2348.1498688401457
A320;CFM56-5B4/3;PAX;EC-MBF;180.0;0.0;VY2472;18/10/2023;18/10/2023 09:43;LEBL;GCRR;1974.1262423414275;2051.846798934823;22543.15885171056;0.0
A320;CFM56-5B4/3;PAX;EC-LOB;180.0;0.0;VY2511;25/06/2023;25/06/2023 12:32;LEZL;LEBB;701.1541526362191;744.6027099362756;10235.814375142962;0.0
A320;V2527-A5;PAX;EC-MNZ;186.0;0.0;VY8102;28/12/2023;28/12/2023 15:50;LEBL;LGAV;1904.5077318023027;1973.0077100870196;21753.916326492817;333475.71965215384
A320;V2527-A5;PAX;EC-MFL;180.0;0.0;VY3714;25/08/2023;25/08/2023 06:58;LEBL;LEMH;241.0492606878899;278.3922790080416;5404.087689349891;0.0
A320;CFM56-5B4/P;PAX;EC-MYB;180.0;0.0;VY6404;05/05/2023;05/05/2023 17:41;LEBL;LIPZ;951.7499664555208;1023.496843981243;12842.978588610438;16665.224963117154
A20N;PW1127G-JM;PAX;EC-NIY;186.0;0.0;Unknown;21/04/2023;21/04/2023 05:40;LEZL;LEBL;809.2782447899061;963.3271478665292;9882.754660067783;11935.546008217849
A320;V2527-A5;PAX;EC-MER;180.0;0.0;VY6165;21/07/2023;21/07/2023 15:00;LIEE;LEBL;633.7800232493965;736.5247146561464;10166.750422468329;0.0
A320;CFM56-5B4/P;PAX;EC-JSY;180.0;0.0;VY8102;08/04/2023;08/04/2023 15:04;LEBL;LEMH;241.0492606878899;294.2117305119056;5602.744372924014;0.0
A320;CFM56-5B4/3;PAX;EC-MAI;180.0;0.0;Unknown;01/04/2023;01/04/2023 07:52;LEIB;LEBL;276.1540864735084;331.7157188217404;6044.2036697554;0.0
A319;CFM56-5B6/P;PAX;EC-MKX;144.0;0.0;VY2015;25/09/2023;25/09/2023 16:20;LEGR;LEBL;680.1368145509944;762.0004687151442;9642.438308150016;0.0
A320;CFM56-5B4/3;PAX;EC-MBY;180.0;0.0;VY7575;15/04/2023;15/04/2023 22:23;GBYD;LEBL;3599.884031630533;;38823.58024399267;
A321;V2533-A5;PAX;EC-MMU;220.0;0.0;VY3209;25/05/2023;25/05/2023 19:58;GCXO;LEBL;2194.5028527808254;2304.773643492258;29559.137335976244;0.0
A320;V2527-A5;PAX;EC-MJC;186.0;0.0;VY8173;01/05/2023;01/05/2023 20:34;LFPO;LEMG;1451.3818548328447;1495.1652086048666;17228.539583449765;33.19634770865472
A320;CFM56-5B4/P;PAX;EC-JSY;180.0;0.0;VY6950;04/02/2023;04/02/2023 17:26;LFPO;LEPA;1020.2384564112792;1053.2570959956608;13119.234399308976;0.0
A20N;PW1127G-JM;PAX;EC-NAV;186.0;0.0;VY2287;03/02/2023;03/02/2023 12:54;LEJR;LEBL;865.7247045465681;985.1044205002228;10040.971756849556;0.0
A320;CFM56-5B4/3;PAX;EC-LVP;180.0;0.0;VY8308;23/10/2023;23/10/2023 06:21;EHAM;LEBL;1241.1362442046452;1327.7691570051834;15674.600648270474;-32911.90366621377
A321;CFM56-5B3/3;PAX;EC-NLV;220.0;0.0;VY3902;25/01/2023;25/01/2023 06:23;LEBL;LEPA;201.96688121093285;253.9428722600977;6180.579628488776;0.0
A320;V2527-A5;PAX;EC-MEA;180.0;0.0;VY8473;01/04/2023;01/04/2023 20:20;EGKK;LEVC;1296.596941101017;1360.3113463618752;15985.388435306337;0.0
A320;CFM56-5B4/3;PAX;EC-MBF;180.0;0.0;VY2117;16/03/2023;16/03/2023 15:04;LEBL;LEMG;765.966389686389;823.2509857931915;10978.251866395289;0.0
A320;CFM56-5B4/P;PAX;EC-JZI;180.0;0.0;VY1910;26/09/2023;26/09/2023 15:22;LEPA;EKCH;1930.6097229260745;2103.5892903475624;23057.08421696861;95452.10997480662
A321;V2533-A5;PAX;EC-MQL;220.0;0.0;VY8939;07/06/2023;07/06/2023 08:04;LEPA;LFPO;1020.2384564112792;1099.9089291260884;15714.109886898535;0.0
A320;CFM56-5B4/3;PAX;EC-LVO;180.0;0.0;VY6229;21/03/2023;21/03/2023 09:23;EGKK;LIRF;1405.917409558029;1501.3983223372109;17297.6035361244;-0.6642252420578538
A321;V2533-A5;PAX;EC-MQB;220.0;0.0;VY1820;16/03/2023;16/03/2023 11:09;LEBL;EDDH;1492.5636767058477;1744.3684773469895;23020.904257485265;148366.05588783952
A319;CFM56-5B6/P;PAX;EC-MKX;144.0;0.0;VY1505;19/09/2023;19/09/2023 19:48;LFPO;LIRQ;870.091904104308;969.8250717099623;11456.755977819765;0.0
A320;CFM56-5B4/3;PAX;EC-MAH;180.0;0.0;VY3066;16/05/2023;16/05/2023 20:07;LEMG;GCLP;1409.5460140854718;1513.6903102406188;17401.199465136353;12515.122556766542
A20N;PW1127G-JM;PAX;EC-NCG;186.0;0.0;VY6142;05/08/2023;05/08/2023 13:33;LEBL;LIEO;624.7451464010614;771.4700445852169;8524.724579357573;0.0
A320;CFM56-5B4/3;PAX;EC-LVU;180.0;0.0;VY1677;24/08/2023;24/08/2023 12:10;LEST;LEBL;883.2522704545041;944.410947284981;12100.541097358113;0.0
A321;CFM56-5B3/3;PAX;EC-NLX;220.0;0.0;Unknown;01/05/2023;01/05/2023 14:08;LEIB;LEBL;276.1540864735084;313.85377633014605;6848.135357742851;0.0
A320;V2527-A5;PAX;EC-MJB;186.0;0.0;Unknown;13/05/2023;13/05/2023 05:06;LIRF;EGKK;1405.917409558029;1497.3413191187865;17245.805571618424;0.0
A321;V2533-A5;PAX;EC-MJR;220.0;0.0;VY2912;17/08/2023;17/08/2023 12:01;LEBL;LFBD;453.4685358712861;564.7017981762814;9685.247207072667;0.0
A320;CFM56-5B4/P;PAX;EC-MYB;180.0;0.0;VY3503;08/08/2023;08/08/2023 07:39;LEIB;LEBL;276.1540864735084;318.9179458990898;5889.692915864414;0.0
A20N;PW1127G-JM;PAX;EC-NIX;186.0;0.0;VY1421;09/06/2023;09/06/2023 06:58;LEBB;LEBL;466.810876844104;516.4931149026783;6621.154397078504;0.0
A20N;PW1127G-JM;PAX;EC-NAJ;186.0;0.0;VY1220;18/11/2023;18/11/2023 10:30;LEBL;LFLL;548.6324974283636;711.0909663359541;8089.6275632077;0.0
A320;CFM56-5B4/P;PAX;EC-KDG;180.0;0.0;VY3284;07/03/2023;07/03/2023 06:41;LEBB;GCFV;1919.5960423353408;2006.5557770402345;22084.296918444423;7806.875169815741
A320;CFM56-5B4/P;PAX;EC-JZI;180.0;0.0;VY6250;11/12/2023;11/12/2023 08:37;LFPO;LIRF;1088.6659905506278;1174.317146793025;14241.5236302718;395.2900951122679
A20N;PW1127G-JM;PAX;EC-NCT;186.0;0.0;VY3968;18/12/2023;18/12/2023 14:40;LEBB;LEVC;469.7343062402431;574.0782458849408;7113.955466386773;0.0
A320;CFM56-5B4/3;PAX;EC-KRH;180.0;0.0;VY6515;28/02/2023;28/02/2023 16:54;LIMF;LEBL;625.8255121182425;710.643012822434;9925.026588107105;431.1974650255867
A320;CFM56-5B4/P;PAX;EC-JYX;180.0;0.0;Unknown;16/03/2023;16/03/2023 09:26;LFPO;LEBL;826.0961118302938;915.3654675093547;11824.285286659571;-6525.209116972141
A320;CFM56-5B6/P;PAX;EC-KJD;180.0;0.0;VY3968;02/10/2023;02/10/2023 12:03;LEBB;LEVC;469.7343062402431;;8561.013522783061;
A320;V2527-A5;PAX;EC-MES;186.0;0.0;VY7832;30/09/2023;30/09/2023 08:59;LEBL;EGKK;1109.0539170109523;1324.0723818354911;15640.068671933155;0.0
A320;CFM56-5B4/3;PAX;EC-LOC;180.0;0.0;VY8435;20/04/2023;20/04/2023 13:15;EHAM;LPPT;1846.297159921293;1914.582200456755;21184.92752924282;-19462.127194340745
A20N;PW1127G-JM;PAX;EC-NIJ;186.0;0.0;VY3318;15/08/2023;15/08/2023 04:30;LIRF;LGMK;1220.740567652971;1324.4982714941025;12453.78248277158;0.0
A20N;PW1127G-JM;PAX;EC-NIY;186.0;0.0;VY6401;01/09/2023;01/09/2023 07:41;LIPZ;LEBL;951.7499664555206;1053.3125652532317;10528.80780526002;611.211815222312
A320;CFM56-5B4/3;PAX;EC-MAO;180.0;0.0;VY8304;25/08/2023;25/08/2023 16:15;LEBL;EHAM;1241.1362442046452;1357.1509713741802;15950.856458969018;0.0
A320;V2527-A5;PAX;EC-MBT;180.0;0.0;VY1301;07/09/2023;07/09/2023 04:49;LEAL;LEBL;403.8531061870535;501.838021313165;7973.969925048663;0.0
A20N;PW1127G-JM;PAX;EC-NIX;186.0;0.0;VY3002;28/10/2023;28/10/2023 11:21;LEBL;GCLP;2174.4948701069866;;19641.23214033972;
A319;CFM56-5B6/P;PAX;EC-NGB;144.0;0.0;VY6204;11/04/2023;11/04/2023 05:52;LIRQ;EGKK;1180.3784115125206;1302.1952211178325;14330.763613845294;-7542.494706644718
A320;V2527-A5;PAX;EC-MBS;180.0;0.0;VY3909;21/12/2023;21/12/2023 12:16;LEPA;LEBL;201.96688121093285;256.27199511802905;5139.212111251058;0.0
A320;V2527-A5;PAX;EC-LUN;180.0;0.0;VY8352;14/10/2023;14/10/2023 05:25;EHAM;LEVC;1481.113988456934;1561.087883107043;17850.115157521483;0.0
A320;CFM56-5B4/3;PAX;EC-MAN;180.0;0.0;VY8720;28/05/2023;28/05/2023 05:41;LEBL;EIDW;1485.689825138535;1609.6291606724478;18299.03084990661;-8534.121552896087
A320;CFM56-5B4/P;PAX;EC-KDH;180.0;0.0;VY6524;16/12/2023;16/12/2023 05:35;LEBL;LIPE;831.3202252007094;913.5137308122193;11807.01929849091;0.0
A320;V2527-A5;PAX;EC-MER;180.0;0.0;VY3646;25/09/2023;25/09/2023 18:13;LEIB;LPPT;909.904626414023;1038.652627286945;12981.106493959707;0.0
A319;CFM56-5B6/3;PAX;EC-MIR;144.0;0.0;VY3709;10/11/2023;10/11/2023 12:38;LEMH;LEBL;241.0492606878899;282.1361969197804;5170.626609101774;0.0
A320;V2527-A5;PAX;EC-MFM;180.0;0.0;VY9436;22/05/2023;22/05/2023 16:55;LEIB;LEBL;276.1540864735084;339.8933632225074;6154.568493963247;0.0
A320;V2527-A5;PAX;EC-LVV;180.0;0.0;VY3154;31/05/2023;31/05/2023 16:19;LEJR;LEPA;829.8570437176472;912.8292235646336;11807.01929849091;0.0
A20N;PW1127G-JM;PAX;EC-NEA;186.0;0.0;VY2702;13/07/2023;13/07/2023 17:52;LEBB;LPPR;526.666053879379;584.9180954015694;7193.064014777659;0.0
A20N;PW1127G-JM;PAX;EC-NCU;186.0;0.0;Unknown;11/09/2023;11/09/2023 06:30;GCXO;LEZL;1390.1408343101732;1505.953636483914;13745.88877315605;0.0
A20N;PW1127G-JM;PAX;EC-NCU;186.0;0.0;VY6574;26/10/2023;26/10/2023 15:54;GCLP;LEAS;1929.1535898886923;1994.6236140519984;17385.190121974592;371296.93227956985
A321;V2533-A5;PAX;EC-MHA;220.0;0.0;VY1426;07/08/2023;07/08/2023 09:43;LEBL;LEBB;466.810876844104;501.3560796599053;8975.969244740214;0.0
A320;V2527-A5;PAX;EC-MEL;180.0;0.0;VY7293;28/05/2023;28/05/2023 18:32;EGKK;LEBB;896.2343404083921;1057.0022281152817;13153.766375646295;8640.975341261415
A320;V2527-A5;PAX;EC-MLE;186.0;0.0;VY2113;18/02/2023;18/02/2023 21:03;LEBL;LEMG;765.966389686389;823.7055268338759;10978.251866395289;0.0
A320;CFM56-5B4/3;PAX;EC-MAI;180.0;0.0;VY7333;17/03/2023;17/03/2023 16:13;GMMX;LEBL;1404.8216263622178;1470.996811807167;17004.081737257202;46407.49227657669
A320;V2527-A5;PAX;EC-LVV;180.0;0.0;VY6950;30/05/2023;30/05/2023 16:45;LFPO;LEPA;1020.2384564112792;1064.060308611813;13222.830328320932;187343.2057354237
A320;CFM56-5B4/3;PAX;EC-LVO;180.0;0.0;VY6225;18/10/2023;18/10/2023 14:11;EGKK;LIRF;1405.917409558029;1559.6959945806088;17832.849169352823;65372.42363651283
A321;CFM56-5B3/3;PAX;EC-NLY;220.0;0.0;VY3708;11/12/2023;11/12/2023 12:40;LEBL;LEMH;241.0492606878899;264.5284388453986;6305.746327723914;0.0
A320;V2527-A5;PAX;EC-MBS;180.0;0.0;VY2973;17/08/2023;17/08/2023 20:57;LFRS;LEBL;714.2352201762058;814.0029395197627;10891.921925551997;0.0
A320;V2527-A5;PAX;EC-MKM;186.0;0.0;VY3163;28/04/2023;28/04/2023 08:38;GCLP;LEST;1778.2054874068783;1824.431851217088;20301.885477471027;0.0
A319;CFM56-5B6/P;PAX;EC-NGB;144.0;0.0;VY1002;28/12/2023;28/12/2023 06:37;LEBL;LEMD;482.93021580816446;522.8702780571147;7571.226101181895;0.0
A320;CFM56-5B4/3;PAX;EC-MUM;180.0;0.0;VY3067;09/05/2023;09/05/2023 13:32;GCLP;LEMG;1409.5460140854718;1484.7239783644047;17142.20964260647;0.0
A320;CFM56-5B4/P;PAX;EC-JSY;180.0;0.0;VY7365;20/09/2023;20/09/2023 22:38;GMTT;LEBL;930.5962904330156;966.1234970093998;12307.732955382016;0.0
A320;CFM56-5B4/3;PAX;EC-LLJ;180.0;0.0;Unknown;21/05/2023;21/05/2023 11:52;LMML;LEBL;1234.2057876783954;1279.023195518511;15225.684955885345;-2538.8087093436548
A320;CFM56-5B4/3;PAX;EC-MAH;180.0;0.0;VY7896;16/09/2023;16/09/2023 15:52;LEBL;OJAI;3188.6328640489533;3317.18221761888;35079.2668685411;0.0
A320;CFM56-5B4/3;PAX;EC-LLM;180.0;0.0;Unknown;08/07/2023;08/07/2023 15:30;LGZA;LIRF;863.8488202024507;939.135881366909;12048.743132852132;0.0
A321;V2533-A5;PAX;EC-MGZ;220.0;0.0;VY3004;30/05/2023;30/05/2023 05:00;LEBL;GCLP;2174.4948701069866;2330.9020435620937;29892.43200125329;0.0
A320;V2527-A5;PAX;EC-MFM;180.0;0.0;VY3049;19/09/2023;19/09/2023 19:22;GCLP;LEZL;1377.5380723845806;1495.6435388563332;17245.805571618424;0.0
A321;V2533-A5;PAX;EC-MHA;220.0;0.0;VY1982;21/12/2023;21/12/2023 19:06;LPPT;LFPO;1438.111041875215;1577.7110181939834;21119.167635556023;29477.8404232602
A20N;PW1127G-JM;PAX;EC-NAX;186.0;0.0;VY3939;15/03/2023;15/03/2023 15:09;LEPA;LEAL;318.2296639123855;394.2745244254983;5486.729147014278;0.0
A320;CFM56-5B4/P;PAX;EC-KDH;180.0;0.0;VY2213;28/12/2023;28/12/2023 05:38;LEZL;LEBL;809.2782447899061;942.2864784288828;12083.275109189452;0.0
A320;V2527-A5;PAX;EC-MVD;186.0;0.0;VY3137;12/03/2023;12/03/2023 09:36;LEST;GCRR;1619.2551302114596;1681.586826091696;18972.4043884843;-110993.87198501972
A320;CFM56-5B4/P;PAX;EC-JZI;180.0;0.0;VY6522;07/06/2023;07/06/2023 18:56;LEBL;LIPE;831.3202252007094;954.243882132654;12186.871038201403;0.0
A320;V2527-A5;PAX;EC-MEA;180.0;0.0;VY1469;21/09/2023;21/09/2023 08:05;LFPG;LEBB;761.2964498804492;888.3289947929914;11582.561452298349;37833.689178342094
A320;V2527-A5;PAX;EC-MLE;186.0;0.0;VY1571;02/04/2023;02/04/2023 08:10;LEAS;LEBL;711.5818927865374;813.9754717941283;10891.921925551997;0.0
A320;CFM56-5B4/3;PAX;EC-LLJ;180.0;0.0;VY7726;11/08/2023;11/08/2023 17:07;LEBL;LDDU;1344.587475338898;1425.4434202764971;16589.69802120939;0.0
A320;V2527-A5;PAX;EC-LUN;180.0;0.0;VY6100;05/12/2023;05/12/2023 06:31;LEBL;LIRF;847.9678302098054;968.5632724889982;12324.998943550674;0.0
A20N;PW1127G-JM;PAX;EC-NFJ;186.0;0.0;VY6213;22/03/2023;22/03/2023 09:18;LEMG;LIRF;1548.024409745077;1625.6560486846658;14602.898047390649;0.0
A319;CFM56-5B6/P;PAX;EC-NGB;144.0;0.0;VY2915;06/09/2023;06/09/2023 11:40;LFBD;LEBL;453.4685358712861;553.8876340457941;7844.176547061415;0.0
A320;CFM56-5B4/3;PAX;EC-LLJ;180.0;0.0;Unknown;21/05/2023;21/05/2023 15:37;LEBL;LEPA;201.96688121093285;261.6228886667804;5205.431005775767;0.0
A320;CFM56-5B4/3;PAX;EC-LZN;180.0;0.0;VY1885;25/11/2023;25/11/2023 19:53;EDDB;LEBL;1502.4124826682996;1584.70837510583;18074.57300371405;0.0
A320;CFM56-5B4/3;PAX;EC-KRH;180.0;0.0;VY6019;03/09/2023;03/09/2023 07:40;LECO;EGKK;1067.856331190174;1142.2975034104804;13948.0018314046;0.0
A320;V2527-A5;PAX;EC-LVT;180.0;0.0;VY3102;23/03/2023;23/03/2023 06:10;LEVC;GCXO;1901.648638128489;1977.0953078092175;21808.97975848475;0.0
A20N;PW1127G-JM;PAX;EC-NEA;186.0;0.0;VY1677;26/01/2023;26/01/2023 12:43;LEST;LEBL;883.2522704545042;951.5075957450548;9803.6461116769;0.0
A320;V2527-A5;PAX;EC-MLE;186.0;0.0;VY3921;24/03/2023;24/03/2023 19:56;LEPA;LEBL;201.96688121093285;237.67003373715815;4918.482462835366;0.0
A320;V2527-A5;PAX;EC-MEA;180.0;0.0;VY6614;26/02/2023;26/02/2023 06:09;LEMG;EGKK;1645.2059978045324;1747.9126408660277;19593.97996255601;0.0
A320;V2527-A5;PAX;EC-MEQ;186.0;0.0;VY2014;25/07/2023;25/07/2023 14:30;LEBL;LEGR;680.1368145509945;770.0044440881154;10477.538209504186;0.0
A320;CFM56-5B4/3;PAX;EC-LOB;180.0;0.0;VY6101;21/11/2023;21/11/2023 08:51;LIRF;LEBL;847.9678302098054;883.1352750945864;11530.763487792368;0.0
A320;V2527-A5;PAX;EC-MBT;180.0;0.0;VY6534;21/09/2023;21/09/2023 12:44;LEBL;LICC;1193.2691218908014;1508.2271717718363;17349.401500630374;-5062.738872299272
A320;CFM56-5B6/3;PAX;EC-KMI;180.0;0.0;VY6100;26/04/2023;26/04/2023 05:23;LEBL;LIRF;847.9678302098054;974.3457137371048;12376.79690805665;-85.17747870612136
A320;CFM56-5B4/3;PAX;EC-LOP;180.0;0.0;VY8829;06/01/2023;06/01/2023 19:28;LFPG;LEZL;1457.4451313122115;1491.6381332293922;17194.00760711245;0.0110104617082406
A320;CFM56-5B4/3;PAX;EC-MBD;180.0;0.0;VY1590;23/05/2023;23/05/2023 13:18;LEBL;LEXJ;539.2343156721367;651.7255696199231;9372.514966710023;0.0
A321;V2533-A5;PAX;EC-MOO;220.0;0.0;VY7334;27/05/2023;27/05/2023 19:16;LEBL;GMMX;1404.8216263622178;1421.5159265946352;19344.21345508873;25622.563814855774
A20N;PW1127G-JM;PAX;EC-NCU;186.0;0.0;Unknown;09/07/2023;09/07/2023 13:37;LIMC;LEBB;958.250600554448;1048.3902416350247;10489.253531064576;0.0
A320;V2527-A5;PAX;EC-MKM;186.0;0.0;VY1899;20/02/2023;20/02/2023 15:37;EDDL;LEBL;1167.4145868113608;1411.6442037941392;16451.570115860122;70637.069722782
A320;CFM56-5B4/3;PAX;EC-MUM;180.0;0.0;VY1002;03/07/2023;03/07/2023 05:31;LEBL;LEMD;482.93021580816446;522.5022977407244;8163.89579490391;0.0
A320;V2527-A5;PAX;EC-MVD;186.0;0.0;VY7364;17/10/2023;17/10/2023 09:39;LEBL;GMTT;930.5962904330156;953.685057638561;12186.871038201403;16198.65042641121
A321;CFM56-5B3/3;PAX;EC-NLX;220.0;0.0;VY2472;02/08/2023;02/08/2023 09:50;LEBL;GCRR;1974.1262423414275;2098.000469371813;27092.756812926084;0.0
A20N;PW1127G-JM;PAX;EC-NFK;186.0;0.0;VY6246;22/04/2023;22/04/2023 04:56;LEBL;LSZH;855.9042394968873;964.7518124196756;9895.939418132932;-56502.137999933824
A20N;PW1127G-JM;PAX;EC-NCU;186.0;0.0;VY3102;11/08/2023;11/08/2023 10:36;LEVC;GCXO;1901.648638128489;2000.4206047466064;17430.920703427935;0.0
A321;V2533-A5;PAX;EC-MJR;220.0;0.0;VY8948;23/10/2023;23/10/2023 09:54;LFPO;LKPR;872.0610278634795;895.7646041005094;13419.387067587651;-93560.88094987436
A320;V2527-A5;PAX;EC-MXG;186.0;0.0;VY1420;13/04/2023;13/04/2023 04:57;LEBL;LEBB;466.810876844104;488.38922570783217;7853.108007868052;0.0
A320;V2527-A5;PAX;EC-MEQ;186.0;0.0;VY6400;04/10/2023;04/10/2023 05:00;LEBL;LIPZ;951.7499664555206;1047.6070925984548;13067.436434803;-4767.545267028817
A320;V2527-A5;PAX;EC-MER;180.0;0.0;Unknown;11/03/2023;11/03/2023 12:43;EDDL;LEBL;1167.4145868113608;1269.8538731760025;15139.355015042054;0.0
A320;CFM56-5B4/3;PAX;EC-MBF;180.0;0.0;VY3258;09/07/2023;09/07/2023 16:30;LEZL;GCXO;1390.1408343101732;1437.2496465193756;16693.293950221345;0.0
A20N;PW1127G-JM;PAX;EC-NDA;186.0;0.0;VY8748;05/02/2023;05/02/2023 11:13;LEBL;EGCC;1379.1562209387153;1504.8216935276691;13745.88877315605;-5439.507869020701
A320;CFM56-5B6/P;PAX;EC-KCU;180.0;0.0;VY8937;19/09/2023;19/09/2023 09:42;LEST;EBBR;1320.5338144331529;1397.1597051143078;16313.44221051085;67.88393707987186
A320;CFM56-5B4/3;PAX;EC-LOC;180.0;0.0;VY1585;14/04/2023;14/04/2023 15:41;LEVD;LEBL;578.7808235994626;725.2332446053546;10063.154493456375;0.0
A320;CFM56-5B4/3;PAX;EC-MAO;180.0;0.0;VY6341;04/07/2023;04/07/2023 13:25;LIMC;LEBL;720.7942696840571;801.6378677164241;10771.060008371383;0.0
A320;CFM56-5B4/3;PAX;EC-LOB;180.0;0.0;VY3709;04/12/2023;04/12/2023 14:16;LEMH;LEBL;241.0492606878899;290.46763493067016;5558.598443240875;0.0
A20N;PW1127G-JM;PAX;EC-NDC;186.0;0.0;VY3708;22/12/2023;22/12/2023 11:08;LEBL;LEMH;241.0492606878899;259.8329237261798;4231.986067397786;0.0
A20N;PW1127G-JM;PAX;EC-NIJ;186.0;0.0;VY3417;29/01/2023;29/01/2023 20:04;LEMD;LEIB;458.2453422657772;490.544540164051;6380.51873797397;0.0
A320;CFM56-5B4/3;PAX;EC-MAO;180.0;0.0;VY8480;12/01/2023;12/01/2023 19:12;LEBL;LPPR;898.660944743925;977.6850382023704;12411.328884393968;199653.25685370123
A320;CFM56-5B4/3;PAX;EC-LVP;180.0;0.0;VY3284;11/11/2023;11/11/2023 12:05;LEBB;GCFV;1919.5960423353408;2033.2726649566944;22359.6140784041;19976.454291417944
A20N;PW1127G-JM;PAX;EC-NAF;186.0;0.0;VY2593;11/09/2023;11/09/2023 14:06;LGSR;LEBL;2091.252353249406;2123.820739555212;18452.237022552687;0.0
A321;V2533-A5;PAX;EC-MLD;220.0;0.0;VY2016;08/03/2023;08/03/2023 23:10;LEBL;LEMG;765.966389686389;841.0481032743328;12793.553571411956;21797.20577584475
A20N;PW1127G-JM;PAX;EC-NFH;186.0;0.0;Unknown;01/05/2023;01/05/2023 19:10;LEPA;LEMG;709.1252076593893;798.2201223188104;8709.31119226964;0.0038959430676466
A320;CFM56-5B4/3;PAX;EC-MUM;180.0;0.0;VY3001;10/03/2023;10/03/2023 06:57;GCLP;LEBL;2174.4948701069866;2347.7593807234825;25479.87522461376;-0.357754922637028
A320;V2527-A5;PAX;EC-MYC;186.0;0.0;VY3714;14/11/2023;14/11/2023 08:05;LEBL;LEMH;241.0492606878899;269.663295746222;5315.795829983614;0.0
A320;V2527-A5;PAX;EC-MBT;180.0;0.0;VY3067;15/11/2023;15/11/2023 13:56;GCLP;LEMG;1409.5460140854718;;17314.869524293063;
A320;V2527-A5;PAX;EC-MNZ;186.0;0.0;VY3975;13/09/2023;13/09/2023 19:36;LEIB;LEBB;609.1855596217713;701.2320117299715;9838.696647263812;0.0
A320;CFM56-5B4/3;PAX;EC-MBE;180.0;0.0;VY3979;10/01/2023;10/01/2023 17:41;LEZG;LEPA;396.3184878926727;;7870.37399603671;
A320;V2527-A5;PAX;EC-MBT;180.0;0.0;VY1518;01/05/2023;01/05/2023 19:58;LFMN;LEBL;496.29649900010094;597.213634474215;8854.535321650259;0.0
A321;V2533-A5;PAX;EC-MJR;220.0;0.0;VY3921;19/07/2023;19/07/2023 21:27;LEPA;LEBL;201.96688121093285;298.565813030522;6681.24642542933;0.0
A320;CFM56-5B4/P;PAX;EC-JTQ;180.0;0.0;VY1333;03/06/2023;03/06/2023 07:50;EBBR;LEAL;1458.0128556729196;1554.2235349398811;17781.051204846844;0.0
A320;CFM56-5B6/3;PAX;EC-KMI;180.0;0.0;VY6736;21/07/2023;21/07/2023 13:08;LIRF;LDDU;502.6903045820188;561.468823701341;8526.481546445742;0.0
A320;CFM56-5B4/3;PAX;EC-MAH;180.0;0.0;VY6932;19/07/2023;19/07/2023 17:34;LIRF;LFPO;1088.6659905506278;1129.7060420795815;13827.139914223988;0.0
A320;CFM56-5B4/3;PAX;EC-MBY;180.0;0.0;VY1423;07/04/2023;07/04/2023 05:17;LEBB;LEBL;466.810876844104;510.4702134145626;8060.299865891958;0.0
A20N;PW1127G-JM;PAX;EC-NBA;186.0;0.0;VY3515;31/08/2023;31/08/2023 16:25;LEIB;LEBL;276.1540864735084;335.7117600062788;4936.704783346774;0.0
